FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.14464658,14464658,POINT (16.255347412438425 48.202913269731106),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","49,N49",,10,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
OEFFHALTESTOGD.14464659,14464659,POINT (16.255347412438425 48.202913269731106),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","49,N49",,11,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
OEFFHALTESTOGD.14464660,14464660,POINT (16.255320511758487 48.20244026988309),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","450,451,49A,50A,N49",,10,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
OEFFHALTESTOGD.14464661,14464661,POINT (16.255320511758487 48.20244026988309),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","450,451,49A,50A,N49",,11,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
OEFFHALTESTOGD.14464662,14464662,POINT (16.25549121239258 48.20258396936238),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","450,451,453,N49",,10,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
OEFFHALTESTOGD.14464663,14464663,POINT (16.25549121239258 48.20258396936238),"HÃ¼tteldorf, Bujattigasse","HÃ¼tteldorf, Bujattigasse","450,451,453,N49",,11,"https://anachb.vor.at?P=SQ&input=Wien%20HÃ¼tteldorf,%20Bujattigasse&start=1",
OEFFHALTESTOGD.14464664,14464664,POINT (16.223044012783202 48.20920546965402),Badgasse,Badgasse,"451,50A,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Badgasse&start=1,
OEFFHALTESTOGD.14464665,14464665,POINT (16.223044012783202 48.20920546965402),Badgasse,Badgasse,"451,50A,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Badgasse&start=1,
OEFFHALTESTOGD.14464666,14464666,POINT (16.224822712749642 48.208828369647364),Badgasse,Badgasse,"451,453,50A,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Badgasse&start=1,
OEFFHALTESTOGD.14464667,14464667,POINT (16.224822712749642 48.208828369647364),Badgasse,Badgasse,"451,453,50A,N49",,11,https://anachb.vor.at?P=SQ&input=Wien%20Badgasse&start=1,
OEFFHALTESTOGD.14464668,14464668,POINT (16.25626371206213 48.20086567007325),Bergmillergasse,Bergmillergasse,N49,,10,https://anachb.vor.at?P=SQ&input=Wien%20Bergmillergasse&start=1,
OEFFHALTESTOGD.14464669,14464669,POINT (16.25626371206213 48.20086567007325),Bergmillergasse,Bergmillergasse,N49,,11,https://anachb.vor.at?P=SQ&input=Wien%20Bergmillergasse&start=1,
OEFFHALTESTOGD.14464670,14464670,POINT (16.256775812775246 48.20114107012343),Bergmillergasse,Bergmillergasse,"43B,450,451,49A,50A,50B,52A,52B,N49",,10,https://anachb.vor.at?P=SQ&input=Wien%20Bergmillergasse&start=1,
OEFFHALTESTOGD.14465105,14465105,POINT (16.373727412072615 48.185188069299315),Hauptbahnhof (UnterfÃ¼hrung Laxenburger StraÃŸe),Hauptbahnhof (UnterfÃ¼hrung Laxenburger StraÃŸe),N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Hauptbahnhof&start=1,
OEFFHALTESTOGD.14465106,14465106,POINT (16.36980181235397 48.194919769634915),Taubstummengasse,Taubstummengasse,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Taubstummengasse&start=1,
OEFFHALTESTOGD.14465107,14465107,POINT (16.369640111935997 48.19478196938032),Taubstummengasse,Taubstummengasse,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Taubstummengasse&start=1,
OEFFHALTESTOGD.14465108,14465108,POINT (16.380060612527696 48.2069006697745),Stubentor (Parkring),Stubentor (Parkring),"1,2,71,D,N25,N38,N60,N66,N75",,11,https://anachb.vor.at?P=SQ&input=Wien%20Stubentor&start=1,
OEFFHALTESTOGD.14465109,14465109,POINT (16.360073012587844 48.20680486965756),Ring/Volkstheater,Ring/Volkstheater,"1,2,71,D,N25,N38,N60,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Ring/Volkstheater&start=1,
OEFFHALTESTOGD.14465110,14465110,POINT (16.29801741175419 48.14624286929759),Brunner StraÃŸe/Erlaaer StraÃŸe,Brunner StraÃŸe/Erlaaer StraÃŸe,"60A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Brunner%20StraÃŸe/Erlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465111,14465111,POINT (16.29801741175419 48.14624286929759),Brunner StraÃŸe/Erlaaer StraÃŸe,Brunner StraÃŸe/Erlaaer StraÃŸe,"60A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Brunner%20StraÃŸe/Erlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465112,14465112,POINT (16.29635551207125 48.14636276984618),Brunner StraÃŸe/Erlaaer StraÃŸe (Atzgersdorfer Platz,Brunner StraÃŸe/Erlaaer StraÃŸe (Atzgersdorfer Platz,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Brunner%20StraÃŸe/Erlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465113,14465113,POINT (16.29635551207125 48.14636276984618),Brunner StraÃŸe/Erlaaer StraÃŸe (Atzgersdorfer Platz,Brunner StraÃŸe/Erlaaer StraÃŸe (Atzgersdorfer Platz,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Brunner%20StraÃŸe/Erlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465114,14465114,POINT (16.364169412440095 48.20376346929837),Burgring,Burgring,"1,2,71,D,N25,N38,N60,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Burgring&start=1,
OEFFHALTESTOGD.14465115,14465115,POINT (16.360692912017903 48.21029496958872),Rathausplatz/Burgtheater,Rathausplatz/Burgtheater,"1,2,71,D,N25,N38,N60,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Rathausplatz/Burgtheater&start=1,
OEFFHALTESTOGD.14465116,14465116,POINT (16.366594812919416 48.19960227004035),BÃ¤renmÃ¼hldurchgang (Operngasse),BÃ¤renmÃ¼hldurchgang (Operngasse),"59A,N62,N66,N71",,11,https://anachb.vor.at?P=SQ&input=Wien%20BÃ¤renmÃ¼hldurchgang&start=1,
OEFFHALTESTOGD.14465117,14465117,POINT (16.3662355125842 48.215586670110646),BÃ¶rse,BÃ¶rse,"1,2,71,D,N25,N38,N60,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20BÃ¶rse&start=1,
OEFFHALTESTOGD.14465118,14465118,POINT (16.28080571265436 48.14455856927504),Corvinusgasse,Corvinusgasse,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Corvinusgasse&start=1,
OEFFHALTESTOGD.14465119,14465119,POINT (16.28080571265436 48.14455856927504),Corvinusgasse,Corvinusgasse,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Corvinusgasse&start=1,
OEFFHALTESTOGD.14465120,14465120,POINT (16.373907112287153 48.17889886998521),Laxenburger StraÃŸe/GudrunstraÃŸe,Laxenburger StraÃŸe/GudrunstraÃŸe,"120,200,210,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20StraÃŸe/GudrunstraÃŸe&start=1,
OEFFHALTESTOGD.14465121,14465121,POINT (16.37360171257691 48.17868926944767),Laxenburger StraÃŸe/GudrunstraÃŸe,Laxenburger StraÃŸe/GudrunstraÃŸe,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Laxenburger%20StraÃŸe/GudrunstraÃŸe&start=1,
OEFFHALTESTOGD.14465122,14465122,POINT (16.280635012917674 48.14438476929622),Corvinusgasse,Corvinusgasse,"66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Corvinusgasse&start=1,
OEFFHALTESTOGD.14465123,14465123,POINT (16.280635012917674 48.14438476929622),Corvinusgasse,Corvinusgasse,"66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Corvinusgasse&start=1,
OEFFHALTESTOGD.14465124,14465124,POINT (16.372083512914084 48.17277676938616),Arthaberplatz,Arthaberplatz,"7A,N65,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Arthaberplatz&start=1,
OEFFHALTESTOGD.14465125,14465125,POINT (16.372083512914084 48.17277676938616),Arthaberplatz,Arthaberplatz,"7A,N65,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Arthaberplatz&start=1,
OEFFHALTESTOGD.14465126,14465126,POINT (16.372182312975458 48.17212976934973),Arthaberplatz,Arthaberplatz,"N65,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Arthaberplatz&start=1,
OEFFHALTESTOGD.14465127,14465127,POINT (16.372182312975458 48.17212976934973),Arthaberplatz,Arthaberplatz,"N65,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Arthaberplatz&start=1,
OEFFHALTESTOGD.14465128,14465128,POINT (16.295035011741568 48.14738766927013),Atzgersdorf Kirchenplatz,Atzgersdorf Kirchenplatz,"60A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14465129,14465129,POINT (16.295035011741568 48.14738766927013),Atzgersdorf Kirchenplatz,Atzgersdorf Kirchenplatz,"60A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14465130,14465130,POINT (16.293346212514688 48.14750756972687),Atzgersdorf Kirchenplatz (EndresstraÃŸe),Atzgersdorf Kirchenplatz (EndresstraÃŸe),"58A,58B,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14465131,14465131,POINT (16.293346212514688 48.14750756972687),Atzgersdorf Kirchenplatz (EndresstraÃŸe),Atzgersdorf Kirchenplatz (EndresstraÃŸe),"58A,58B,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf%20Kirchenplatz&start=1,
OEFFHALTESTOGD.14465132,14465132,POINT (16.289187012244348 48.1477352694134),Atzgersdorf (EndresstraÃŸe),Atzgersdorf (EndresstraÃŸe),"58A,58B,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf&start=1,
OEFFHALTESTOGD.14465133,14465133,POINT (16.289187012244348 48.1477352694134),Atzgersdorf (EndresstraÃŸe),Atzgersdorf (EndresstraÃŸe),"58A,58B,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf&start=1,
OEFFHALTESTOGD.14465134,14465134,POINT (16.28835151241777 48.14774726934342),Atzgersdorf (EndresstraÃŸe),Atzgersdorf (EndresstraÃŸe),"60A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf&start=1,
OEFFHALTESTOGD.14465135,14465135,POINT (16.28835151241777 48.14774726934342),Atzgersdorf (EndresstraÃŸe),Atzgersdorf (EndresstraÃŸe),"60A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Atzgersdorf&start=1,
OEFFHALTESTOGD.14465136,14465136,POINT (16.37214641214959 48.18996126935368),Belvederegasse,Belvederegasse,N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Belvederegasse&start=1,
OEFFHALTESTOGD.14465137,14465137,POINT (16.36151031203314 48.14820277006011),Oberlaaer StraÃŸe,Oberlaaer StraÃŸe,"17A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Oberlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465138,14465138,POINT (16.36151031203314 48.14820277006011),Oberlaaer StraÃŸe,Oberlaaer StraÃŸe,"17A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Oberlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465139,14465139,POINT (16.36103421243087 48.14778926984862),Oberlaaer StraÃŸe,Oberlaaer StraÃŸe,"17A,66A,N66",,10,https://anachb.vor.at?P=SQ&input=Wien%20Oberlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465140,14465140,POINT (16.36103421243087 48.14778926984862),Oberlaaer StraÃŸe,Oberlaaer StraÃŸe,"17A,66A,N66",,11,https://anachb.vor.at?P=SQ&input=Wien%20Oberlaaer%20StraÃŸe&start=1,
OEFFHALTESTOGD.14465141,14465141,POINT (16.36930771202951 48.20250016981659),Oper/Karlsplatz (Opernring),Oper/Karlsplatz (Opernring),N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Oper/Karlsplatz&start=1,
OEFFHALTESTOGD.14465142,14465142,POINT (16.36930771202951 48.20250016981659),Oper/Karlsplatz (Opernring),Oper/Karlsplatz (Opernring),N66,,11,https://anachb.vor.at?P=SQ&input=Wien%20Oper/Karlsplatz&start=1,
