rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4904;Landstraße;U3;OTTAKRING;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:02.555888
4901;Schlachthausgasse;U3;OTTAKRING        ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.555900
4905;Stubentor;U3;OTTAKRING;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.555912
4902;Kardinal-Nagl-Platz;U3;OTTAKRING        ;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:02.555923
4906;Stephansplatz;U3;OTTAKRING;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:02.555935
4907;Herrengasse;U3;OTTAKRING        ;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:02.555946
4903;Rochusgasse;U3;OTTAKRING        ;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:02.555958
4908;Volkstheater;U3;OTTAKRING     ;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.555970
4621;Thaliastraße;U6;FLORIDSDORF;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:02.555982
4644;Neue Donau;U6;FLORIDSDORF;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:02.555995
4618;Gumpendorfer Straße;U6;FLORIDSDORF;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556007
4638;Alterlaa;U6;FLORIDSDORF;2026-02-07T16:05:46.000+0100;2026-02-07T16:05:46.000+0100;1;2026-02-07T16:05:02.556021
4641;Jägerstraße;U6;FLORIDSDORF;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556033
4625;Währinger Straße - Volksoper;U6;FLORIDSDORF;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:02.556045
4635;Siebenhirten;U6;FLORIDSDORF;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556057
4622;Josefstädter Straße;U6;FLORIDSDORF;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556068
4619;Westbahnhof;U6;FLORIDSDORF;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:02.556080
4642;Dresdner Straße;U6;FLORIDSDORF;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:02.556092
4626;Nußdorfer Straße;U6;FLORIDSDORF;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556103
4636;Perfektastraße;U6;FLORIDSDORF;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:02.556116
4639;Am Schöpfwerk;U6;FLORIDSDORF;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:02.556127
4623;Alser Straße;U6;FLORIDSDORF;2026-02-07T16:07:46.000+0100;2026-02-07T16:07:46.000+0100;3;2026-02-07T16:05:02.556139
4620;Burggasse - Stadthalle;U6;FLORIDSDORF;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:02.556150
4643;Handelskai;U6;FLORIDSDORF;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:02.556162
4627;Spittelau;U6;FLORIDSDORF;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:02.556173
4637;Erlaaer Straße;U6;FLORIDSDORF;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:02.556185
4640;Tscherttegasse;U6;FLORIDSDORF;2026-02-07T16:08:46.000+0100;2026-02-07T16:08:46.000+0100;4;2026-02-07T16:05:02.556197
4624;Michelbeuern - AKH;U6;FLORIDSDORF;2026-02-07T16:09:46.000+0100;2026-02-07T16:09:46.000+0100;5;2026-02-07T16:05:02.556208
4630;Am Schöpfwerk;U6;SIEBENHIRTEN;2026-02-07T16:04:46.000+0100;2026-02-07T16:04:46.000+0100;0;2026-02-07T16:05:02.556220
4633;Perfektastraße;U6;SIEBENHIRTEN;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556232
4649;Dresdner Straße;U6;SIEBENHIRTEN;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556243
4646;Floridsdorf;U6;SIEBENHIRTEN;2026-02-07T16:06:46.000+0100;2026-02-07T16:06:46.000+0100;2;2026-02-07T16:05:02.556255
