rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4275;Aspern Nord;U2;SEESTADT         ;2026-02-12T17:44:45.000+0100;2026-02-12T17:44:45.000+0100;5;2026-02-12T17:39:50.249493
4214;Schottenring;U2;SEESTADT      ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249501
4264;Messe;U2;SEESTADT         ;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249509
4269;Stadlau;U2;SEESTADT         ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249517
4210;Rathaus;U2;SEESTADT         ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249525
4268;Donaumarina;U2;SEESTADT         ;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249533
4273;Lina-Loos-Platz;U2;SEESTADT         ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249541
4262;Taborstraße;U2;SEESTADT         ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249549
4270;Hardeggasse;U2;SEESTADT         ;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249556
4204;Museumsquartier;U2;SEESTADT         ;2026-02-12T17:42:45.000+0100;2026-02-12T17:42:45.000+0100;3;2026-02-12T17:39:50.249564
4265;Krieau;U2;SEESTADT         ;2026-02-12T17:40:45.000+0100;2026-02-12T17:40:45.000+0100;1;2026-02-12T17:39:50.249572
4274;Hausfeldstraße;U2;SEESTADT         ;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249580
4401;Hütteldorf;U4;HEILIGENSTADT;2026-02-12T17:39:45.000+0100;2026-02-12T17:39:45.000+0100;0;2026-02-12T17:39:50.249592
4403;Ober St. Veit;U4;HEILIGENSTADT;2026-02-12T17:41:45.000+0100;2026-02-12T17:41:45.000+0100;2;2026-02-12T17:39:50.249599
4405;Unter St. Veit;U4;HEILIGENSTADT;2026-02-12T17:43:45.000+0100;2026-02-12T17:43:45.000+0100;4;2026-02-12T17:39:50.249606
