rbl;station;linie;richtung;geplant;tatsaechlich;countdown;timestamp_abruf
4201;Schottenring;U2;KARLSPLATZ    ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440333
4209;Volkstheater;U2;KARLSPLATZ       ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440346
4256;Donaustadtbrücke;U2;KARLSPLATZ       ;2026-02-07T15:42:15.000+0100;2026-02-07T15:42:15.000+0100;2;2026-02-07T15:40:32.440358
4278;Aspern Nord;U2;KARLSPLATZ       ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440369
4252;Donauspital;U2;KARLSPLATZ       ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440381
4259;Messe;U2;KARLSPLATZ       ;2026-02-07T15:43:15.000+0100;2026-02-07T15:43:15.000+0100;3;2026-02-07T15:40:32.440393
4203;Schottentor;U2;KARLSPLATZ       ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.440405
4211;Museumsquartier;U2;KARLSPLATZ       ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440417
4255;Donaumarina;U2;KARLSPLATZ       ;2026-02-07T15:44:15.000+0100;2026-02-07T15:44:15.000+0100;4;2026-02-07T15:40:32.440429
4253;Hardeggasse;U2;KARLSPLATZ       ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.440442
4260;Praterstern;U2;KARLSPLATZ    ;2026-02-07T15:40:15.000+0100;2026-02-07T15:40:15.000+0100;0;2026-02-07T15:40:32.440458
4279;Hausfeldstraße;U2;KARLSPLATZ       ;2026-02-07T15:45:15.000+0100;2026-02-07T15:45:15.000+0100;5;2026-02-07T15:40:32.440471
4280;Lina-Loos-Platz;U2;KARLSPLATZ       ;2026-02-07T15:46:15.000+0100;2026-02-07T15:46:15.000+0100;6;2026-02-07T15:40:32.440484
